Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description,Views per Subscriber,Views per Video,Subscribers (M),Views (B),Tier
1592,UC6A-Z0jDKemh9-CwGbj5yog,Kinoman,576000,455165428,4488,UA,"🎬 Добро пожаловать на Kinoman Trailers — Ваш источник официальных трейлеров!  На нашем канале вы найдете самые новые и качественные официальные трейлеры к фильмам, сериалам и анимационным проектам от ведущих мировых студий и дистрибьюторов.  Мы публикуем контент в сотрудничестве с правообладателями, чтобы зрители могли первыми узнавать о самых ожидаемых премьерах. Также делимся подборками, дополни",790.22,101418.0,0.58,0.455,🔵 <1M
1593,UCa-xe7G44VaYuT1Tb7b_A_g,Giuse360,576000,342950787,4377,IT,Tutto sul mondo della Carriera allenatore su FC 26! ,595.4,78353.0,0.58,0.343,🔵 <1M
1594,UCdlanCxz0OvdpMX8qJY58WQ,Kelra Official,575000,44009917,747,PH,Official Youtube Channel of Kelra  Business Email : Kelraofficial26@gmail.com,76.54,58916.0,0.57,0.044,🔵 <1M
1595,UCr9WjyN6H0nDJtmelAABGcg,Kaan Eren,575000,264444560,181,TR,Reklam Ve Sponsorluk Teklifleri İçin Mail Adresim: kaanerentyt@gmail.com,459.9,1461020.0,0.57,0.264,🔵 <1M
1596,UCUR5w0E-jQTOO8Q0FZ4ilYQ,팡이요,575000,718247065,5634,KR,"안녕하세요 팡이요 입니다. 아프리카TV에서 메이플스토리를 메인컨텐츠로 생방송을 하고 있습니다. 매일 밤 8시~10시에 사이에 만나요~^^  생방송 월,금은 휴방입니다. 매주 5회 방송 진행 하고 있습니다. 휴방날에도 키는 경우도 있습니다!  팬 선물 보내는 곳 서울특별시 성동구 성수이로20길16,  JK타워 2층 트레져헌터 팡이요 앞 물어보시는 분들이 많으셔서 적어 놓습니닷!!!   아프리카TV방송국주소 : http://www.afreeca.com/sccha21 팡이요 팬카페주소 : http://cafe.naver.com/pang2yo 팡이요 페이스북주소 : http://www.facebook.com/pang2yo 팡이요 인스타그램 : http://www.instagram.com/pang2yo",1249.13,127484.0,0.57,0.718,🔵 <1M
1597,UCCvLJ3Cxzb20ERPiMZ12KyA,Cleopatra,574000,102422205,2778,RU,"💎 Официальный ютубер по играм Clash of Clans и Brawl Stars 💎 Расписание стримов: ср, пт и сб в 19:00 по Мск 💎 О себе: Катя, 30, Москва 💎 Для предложений сотрудничества/рекламы можно обращаться к менеджеру канала: https://vk.com/pogoda_official 💎 Второй канал по ПК играм: CleopatraTV 💎 Если понравился канал, поставь лайк и нажми на подписочку, мне будет приятно ;) ",178.44,36869.0,0.57,0.102,🔵 <1M
1598,UCPex89Pgo06t4VSArO53y_Q,Clonny Games,574000,463124601,2529,NL,"✪ Welkom op Clonny Games! Mijn naam is Dante en op dit kanaal upload ik video's van gameplay, unboxings, vlogs etc.",806.84,183126.0,0.57,0.463,🔵 <1M
1599,UC3pQA4p1hQamo3u608p_uKg,Qamar Shahpuria Official,574000,130876140,45,PK,"This Channel is proudly managed by Power Digital.✔ Welcome to a dynamic space where creativity meets success. As part of Power Digital, we are dedicated to empowering creators like you. Our mission is to amplify your voice, boost your visibility, and supercharge your journey in the digital realm. Let Power Digital be your guiding force in navigating the ever-evolving landscape of YouTube. Together",228.01,2908359.0,0.57,0.131,🔵 <1M
1600,UC7OOFBB8Q5pjlJ0OFZZNx7w,BeOnePourcent,573000,181119841,533,Unknown,(French Content Creator) Pense à bien activer la cloche on va grind 💪❤  ,316.09,339812.0,0.57,0.181,🔵 <1M
1601,UCO3EV9AYxEw-M_3kpne5OLA,Mösyö Taha,573000,178678069,538,TR,burası benim hayal dünyam. hoşgeldiniz.,311.83,332115.0,0.57,0.179,🔵 <1M
1602,UCL0R1XeEqXW28FlYznzYVxg,スウィントと上田さん,572000,512770401,736,JP,4歳からの幼馴染同士でゲーム実況をしています。  100万人目指してます。とりあえず動画全部見てください。  スウィントのX→@swintoooooo 上田さんのX→@UEdAsAn__ ,896.45,696699.0,0.57,0.513,🔵 <1M
1603,UCBk2B7ZNhb2xC_eK6Z9qyJw,Sonalibaba,571000,179437666,3514,ID,"Annyeong !! 안녕!!  Gue adalah orang buncit berketurunan darah korea di bagian kelingking. Gue udah main game PC sejak 6 SD sampai sekarang. Disini gue ingin berbagi canda dan tawa kepada kalian dalam main game. Kenapa harus dibawa serius kalau kita bisa ketawa?  Gue lagi ga ada jadwal upload, tapi sedang diusahakan setiap hari di jam 7 malam.  LIKE, COMMENT, and SUBSCRIBE  E-mail: pa.sonalibaba@gma",314.25,51064.0,0.57,0.179,🔵 <1M
1604,UC1EOVZPr8neE-05eqKR_K-Q,ADC Gaming,570000,161412908,1015,VN,TeamFlash No1,283.18,159027.0,0.57,0.161,🔵 <1M
1605,UCdPDDFGvyRL9UfWYHWJbahg,LONG KA ENTERTAINMENT,570000,454980104,3365,VN,Chào mừng AE đến với  LONG KA ENTERTAINMENT  Kênh youtube Dành Cho Những Người Yêu Game Và Mê Game hãy SUBSCRIBE cho kênh cũng như đừng quên ấn vào chiếc chuông nho nhỏ bên cạnh nút SUBSCRIBE để không bỏ sót một video nào nhé. ----------------------------------------------------------- Video về Minecraft Thử Thách/Minecraft Thử Thách Sinh Tồn/Minecraft Speedrun và mục tiêu là muốn mang một thể loạ,798.21,135210.0,0.57,0.455,🔵 <1M
1606,UCIgwOzhDnR0uoT59pJJONxg,Chrono,569000,230973393,161,Unknown,Cronologicamente avançado!,405.93,1434617.0,0.57,0.231,🔵 <1M
1607,UCPKcM62iHQOz-EmfsSxxZiw,Nikku Gang,566000,65212017,72,IN,Business mail -: realnikkugang@gmail.com,115.22,905722.0,0.57,0.065,🔵 <1M
1608,UCZzKnnb8ENdw1AFrK8xLDDg,Hoàng Dũng,566000,496092512,268,VN,Born in 1995 - crafting stories and emotions through music for over a decade as a singer - songwriter.  ,876.49,1851091.0,0.57,0.496,🔵 <1M
1609,UCCXR1oSwEjJgD10Q_wFmf2A,KENNEDY CLASH,564000,140894801,1797,BR,Esse canal foi criado com o intuito de compartilhar minha experiência e conhecimento com vocês.  Conquistas: Fui o melhor nível 10 e 11 Do mundo! Alcancei 2x TOP 1 DO MUNDO! Todos desafios da CRL fechados! Recorde: 9000 Troféus!    1.000 Inscritos ▬▬▬▬▬ 09/03/2019 5.000 Inscritos ▬▬▬▬▬ 01/04/2020 10.000 Inscritos ▬▬▬▬▬ 10/04/2020 15.000 Inscritos ▬▬▬▬▬ 07/05/2020 20.000 Inscritos ▬▬▬▬▬ 31/05/2020 ,249.81,78406.0,0.56,0.141,🔵 <1M
1610,UCG_-j3fticW0l5t9mym6cPw,Mahar Studio HD,564000,53479112,224,IN,Welcome To Your My You Tube Channel Mahar Studio HD __________________________________________________  Singer Lovekush Dungri  __________________________ A Unit of Poswal Brother's  Producer : Kuldeep Mahar Shekhpura 9588261445  ___________________________________________ ,94.82,238746.0,0.56,0.053,🔵 <1M
1611,UCoQhX2O93MVTWfgIz-8wOmg,KUNの50人クラフト,564000,542381706,1262,JP,,961.67,429779.0,0.56,0.542,🔵 <1M
1612,UCLUPARIgwSrylX9P-q3Wh5A,Sawel Gaming Live Streaming ,560000,144826315,2375,ID,Halo Semuanya Nama Ku David Aku Suka Bermain Game !!,258.62,60980.0,0.56,0.145,🔵 <1M
1613,UCP5Z4fwp9zz0_TLFSF5-Tog,ISK Officiel,559000,214194196,117,FR,"Chaine officielle de ISK / Nouvel album ""HANNIBAL"" disponible ",383.17,1830720.0,0.56,0.214,🔵 <1M
1614,UCVGvyqygtH9y4frLIrAoxMQ,Mahmoud GRX,559000,72993127,3074,US,هدفنا نوصل 600 الف اخ واخت ❤️ دخلت هنا لاتحرمني من دعمك بأشتراك ولايك   ‏لكي تنجح يجب أن تكون رغبتك في النجاح أكبر من خوفك من الفشل.🍁❄️  يارب يتحقق حلمي ❤️ (‏سأبقى على يقين بأن ما أحلم به ، سيأتي يوماً) 💕 ‏كُن قوياً وتذكر ، لا يُهزم مَن آمن باللّه ♥️,130.58,23745.0,0.56,0.073,🔵 <1M
1615,UC7zXhQje2QONGl0PWM6dRtg,LFLN-Ademcan,557000,129249647,545,TR,"👑・Selam! Beni ilk kez gördüyseniz ben Ademcan, tanıştığımıza memnun oldum😅. 2023 yılının sonuna doğru 14 yaşımdayken bu kanala geçip düzenli videolar çekmeye başladım. Bu kanalıma sadece Minecraft içerikleri paylaşıyorum ve bunu Minecraft yok olana dek bırakmicam 😁. En büyük hayalim 10 milyon abone olup Minecraft türkiye'nin bilindik isimlerinden olmak! bana bu konuda yardım edermisin?   ❤️・Abone ",232.05,237155.0,0.56,0.129,🔵 <1M
1616,UCIytNcoz4pWzXfLda0DoULQ,エクス・アルビオ -Ex Albio-,556000,192057742,2048,JP,にじさんじ所属の英雄エクス・アルビオ(エビオ)です！！  【Twitter】 https://twitter.com/Ex_Albio  【Twitch】 https://www.twitch.tv/exalbio_2434  【ファンレターやプレゼント、その他お問い合わせ】 【詳細】https://www.nijisanji.jp/contact  【公式HP】 https://www.nijisanji.jp  【公式オンラインショップ】 https://nijisanji.booth.pm/  ーーー,345.43,93778.0,0.56,0.192,🔵 <1M
1617,UCqTGCMjeKOclEEfW8Vs7sXQ,ガッチマンV,555000,159769683,972,JP,ゲーム実況ガッチマンの配信用Vtuberチャンネルです。 （バーチャルの存在っていうかアバターの認識で宜しく頼む） コンテンツは配信が主となります。メインチャンネルで遊ばなかったゲームや以前に動画にした ゲームなんかも配信でまた遊びたいと思います。   ガッチマン本チャンネル→http://goo.gl/bbSz68 ガッチマンTwitter→https://twitter.com/gatchman666  ★★★★各種ハッシュタグ★★★★ ファンアート→　#画ッチマン　　　（見てます感謝！ サムネイル用→　#動画ッチマン　　（使わせていただきます！ LIVE用　　　→　#ガッチライブマン（後で確認してます！  どんどん使ってくれよな！   ガッチマンV　　　　　  イラスト/モゲラッタさん  　   @mogelatt サイバー忍者フォーム　 デザイン/Go Takahashi さん　@,287.87,164372.0,0.56,0.16,🔵 <1M
1618,UCaeE4Ci4qayB1i5NrlQMyEQ,Paraduze,554000,276165659,2600,NL,"Welkom op Rick's Gaming kanaal! Hier vind je elke maandag, woensdag en zaterdag een gaming video.  Paraduze staat onder toezicht van Commissariaat voor de Media. ",498.49,106218.0,0.55,0.276,🔵 <1M
1619,UCo33r3SAf5z9MS-lrXV2aOQ,로빈,554000,708614971,2483,KR,"주로 #마인크래프트 #마크 등 을 플레이하고 영상으로 담아 여러분께 전하는 유튜브 크리에이터 ""로빈"" 입니다.  컨텐츠 요청 / 기타 문의는 이메일 [ dydgh012@naver.com ] 로 해주세요!",1279.09,285387.0,0.55,0.709,🔵 <1M
1620,UCBiRuk3NRX_SxCsp3l3cLAw,Xou,553000,198514393,2279,BR,Faço uns vídeos bem loucos ai  Contato Profissional: canaldoxouempresa@gmail.com ,358.98,87106.0,0.55,0.199,🔵 <1M
1621,UCW8Q9LBGGBgK6a-u0C0h95A,KAWAII LAB.,553000,535494023,619,Unknown,The official YouTube channel of KAWAII LAB.  日本のポップカルチャーを牽引するアソビシステムが、日本のアイドル文化を世界へ発信するプロジェクト「KAWAII LAB.」 ,968.34,865095.0,0.55,0.535,🔵 <1M
1622,UCDa_A867HXYj0MElQ5rHLXQ,Ukri,552000,302778202,1044,DE,"Ich liebe es, Minecraft mit meinen Freunden Semlaki Billy Nelly und Lea zu spielen!  Geschäftsanfragen: ukri@inflyzed.com  ",548.51,290017.0,0.55,0.303,🔵 <1M
1623,UCCEJ_ncBqRPCWvs29UFvugg,xAom,552000,155136772,1219,TH,"xAom is a Roblox-focused documentary and commentary YouTube channel covering Roblox game history, major community events, and success stories within the Roblox gaming ecosystem. The channel explores Roblox games, developers, creators, trends, and controversies through well-researched documentaries, analysis videos, and long-form commentary, providing deeper context beyond gameplay.  By focusing on",281.04,127266.0,0.55,0.155,🔵 <1M
1624,UCcOYr_9bA5_uPJ-6uFOrxZw,BEZSMERTNY BS ,552000,118327631,361,PL,Никита Безсмертный  Партнер Adisom Реклама и сотрудничество bezsmertnybs@adisom.net https://vk.com/adisom https://t.me/AdisomAgency ,214.36,327777.0,0.55,0.118,🔵 <1M
1625,UCGkEZAV34aWfgKqawCVgjbA,Lazy Mattman,550000,362459516,1346,US,hi im matt and i play games pft business inquiries:  lazymattmanbusiness@outlook.com ,659.02,269286.0,0.55,0.362,🔵 <1M
1626,UCj8z8d3XHXvat5_2--8-VGw,Hamza I حمزة ,549000,244060906,825,AE,احببببكم ❤️   افضل كود بالعالم ( hmzz )    ,444.56,295831.0,0.55,0.244,🔵 <1M
1627,UCnMi24EZ0Lc52yoi5nvMcvA,сачелька,548000,74907997,171,RU,"Здарова я сачелька) Расскажу вам историю одну... Был на рейде, накинул сачельку, как всегда она потухла, ну и я от безысходности нацепил ее на бошку и решил создать канал по Расту) Играю в соло в rust , люблю строить всякие разные дома и в целом топлю за атмосферное выживание) Давай знакомится, подписывайся обязательно и вообще люблю когда под видосами как можно больше активности проявляется... Во",136.69,438058.0,0.55,0.075,🔵 <1M
1628,UCBviXfiXtYOzhaBO5iI65BQ,Bubs,548000,121444403,230,US,"Всем привет! Меня зовут Бубс или Bubs 😁 Здесь самый топовый контент по игре Бравл Старс! На моем канале вы увидите полезные гайды, интересные факты, различные топы и кучу развлекательного контента по игре Brawl Stars!  По вопросам рекламы: bubsyt.work@gmail.com  ",221.61,528019.0,0.55,0.121,🔵 <1M
1629,UC5aATYG-mEny8VBUzf2TIjQ,AussieAntics,548000,154544608,1515,AU,Australian Content Creator for Dignitas  ,282.02,102010.0,0.55,0.155,🔵 <1M
1630,UCJM9Q5wZixhBNL0g_DdPJjQ,Teteuxin,547000,226718573,436,BR,eai galera do gta sanders,414.48,519997.0,0.55,0.227,🔵 <1M
1631,UCV9WL7sW6_KjanYkUUaIDfQ,고세구 GOSEGU,547000,402179717,1006,Unknown,"가자, 고세구! 지금, 망상을 현실로! ^ㅁ^   SOOP 생방송보기: https://ch.sooplive.co.kr/gosegu2  컨텐츠/VR/노가리  -캐릭터 출처 作者名：「こまど」 Twitter:@komado_booth (캐릭터 제작자님의 허가를 얻어 활동하고 있습니다) ",735.25,399781.0,0.55,0.402,🔵 <1M
1632,UClbFnMu72DbIvh6aZebAHsA,Levi,546000,260262513,2662,VN,Lịch live stream : 13h và 20h hàng ngày ( nghỉ Thứ Ba và tối Thứ Bảy ),476.67,97770.0,0.55,0.26,🔵 <1M
1633,UCVynCj7L-ANcNLnh9QX4seQ,Wisethug,546000,157651932,3827,FR,Des vidéos ludiques de jeu vidéo ! ,288.74,41195.0,0.55,0.158,🔵 <1M
1634,UC0Olc6crb9iKDuNX3DnoeGA,Aina Abdul,544000,119080628,215,MY,"Hey, I'm Aina Abdul. I sing. I write. Malaysian singer-songwriter.   #AinaAbdul #Ainations  ",218.9,553863.0,0.54,0.119,🔵 <1M
1635,UCI-6nJH-anZG21rot5421tA,JOSPLAY,544000,136682249,219,FR,100% challenge 100% plaisir,251.25,624120.0,0.54,0.137,🔵 <1M
1636,UCZoeiKBLDv0Hj56pN5d2Ocw,Cámara en Mano,542000,81850088,1309,AR,"Un canal dedicado a las series y al cine. Analisis completos, curiosidades, easter eggs y referencias de todo lo que te gusta.",151.01,62529.0,0.54,0.082,🔵 <1M
1637,UC8DChJqiao86wFT86qj9NtA,iKaoss11,542000,245098569,2039,ES,"Hola, Soy iKaoss (Jugador Competitivo para Team Heretics) Canal Dedicado a Gameplays y Momentos divertidos sobre Brawlstars.  Contacto: ikaoss@makeithpn.com",452.21,120205.0,0.54,0.245,🔵 <1M
1638,UCKBzr20577Xcn0LJoRVES_A,무비띵크_Movie Think,541000,376321850,1150,KR,📌 비즈니스 문의 hongzuna@naver.com  🧙‍♂ 무비띵크 멤버십 되기 https://www.youtube.com/channel/UCKBzr20577Xcn0LJoRVES_A/join  ⚡ 무비띵크 인스타그램 https://www.instagram.com/moviethink ,695.6,327236.0,0.54,0.376,🔵 <1M
1639,UCNpaHkWG92gfzBRFSTWai0g,سنجوب,540000,261875315,2637,SA,مرحبا أنا سنجوب  قناتي قناة ألعاب متنوعة راح تجد فيها جميع الألعاب من رعب ومغامرات  وإلخ. . .  من صغرى وأنا أحب الألعاب وكان هذا الشيء شغفي وفي يوم من الأيام قررت أني أدخل عالم اليوتيوب ومن هنا بدأت قصتي وبدأ حلمي والحلم هو مليون مشترك اعرف أنه رقم صعب جدا بس بإذن الله راح أوصل له بدعمكم لي   يستغرق الأمر عشرین سنة، لتحقق النجاح في لیلة أو ضحاها  (please contact me if I didn't put you in the credi,484.95,99308.0,0.54,0.262,🔵 <1M
1640,UC_uuCO-tZMc73_qRvr46OFA,Mind Pulp,539000,129128697,261,GB,We play games and then make jokes about bowel movements    ,239.57,494746.0,0.54,0.129,🔵 <1M
1641,UCdzmPAhQa42zbHQOiWXwSPQ,EmirhanCTN Filmleri,539000,103581787,408,TR,"🙏Merhaba Arkadaşlar! Minecraft ve Roblox dünyasında heyecan verici maceralara atılmaya hazır mısınız? Efsanevi videolarım ve komik kişiliğimle sizi güldüreceğim. Abone olun ve bu eğlenceyi birlikte yaşayalım! CERENİMO✌️  📬Reklam ve Sponsorluk için: contactemirhanctn@gmail.com  🥳ABONE HEDEFLERİ😝  100,000✅ 200,000✅ 300,000✅ 400,000✅ 500,000🔒️ 600,000🔒️ 700,000🔒️ 800,000🔒️ 900,000 🔒️ 1,000,000🔒️✨🙏 ",192.17,253877.0,0.54,0.104,🔵 <1M
1642,UCvDEj5OehdvTT06oK52qB0Q,TJ_bb,539000,99340479,39,DE,"📊Impressum  Tjarks c/o space artist management Hartwichstraße 59/61 D-50733 Koeln  E-Mail: Taddl@spacemgmt.de Telefon: (+49) 221 168 723 03  UStID: DE306007027 Sitzland und Aufsichtsbehörde gem. § 5 Abs. 1 Nr. 8 TMG: Deutschland, Landesanstalt für Medien NRW",184.31,2547192.0,0.54,0.099,🔵 <1M
1643,UC9fpAQPR4sWOlCtARTETadQ,Karry Mini,539000,194999598,287,IN,ONLY FIRE.......  contact for promotion of roblox games :- carrydepiebusiness@gmail.com ,361.78,679441.0,0.54,0.195,🔵 <1M
1644,UCAF_yy-Y4yl4VMiQ7RV3STw,PotatoMcWhiskey,538000,221542953,2983,IE,If you are inquiring about a sponsored video please remember to include a [Sponsorship] tag or word in the e-mail headline. It will make it much less likely to be buried in my inbox as I can filter for them.   All the art on my channel was done by Natelive: https://www.youtube.com/user/Natelive4,411.79,74269.0,0.54,0.222,🔵 <1M
1645,UCCA8UWUW80iHqK9ymdjRwPg,탬탬버린,537000,813022088,3406,KR,탬탬버린^v^~   ※ 광고문의: biz@pixelnetwork.co.kr  ▶탬탬버린의 생방송 채널 (Live Broadcasting!) - https://chzzk.naver.com/a7e175625fdea5a7d98428302b7aa57f  ▶탬탬버린의 풀 영상 다시보기 채널 - https://www.youtube.com/@%ED%83%AC%ED%83%AC%EB%B2%84%EB%A6%B0%EB%8B%A4%EC%8B%9C%EB%B3%B4%EA%B8%B0,1514.01,238703.0,0.54,0.813,🔵 <1M
1646,UC85qf8SCF4_JTZMDPXBMvAg,حموده قيمر Hammoda Gamer,534000,111066297,662,JO,كود الشوب Gx2 🌹  افضل وأعرق صانع محتوى فورت نايت   اسمي محمد من الاردن 🇯🇴   الدلع حموده العمر 16  الهدف 1m  لا تنسى تشترك وتحط لايك وتتابع المقاطع  واكتب Gx2 في بحث المابات رح تطلع لك مابات أسطورية ,207.99,167774.0,0.53,0.111,🔵 <1M
1647,UC6HpZ3Rs-H8VNJOXyxT7SZA,RUBIX,533000,198877272,1044,DE,"Abonniert mich ... bitte 💚 Creator Code: Rubix #ad   Twitch: RUBIX TikTok: Rubixfnr Instagram: Rubixfnr Twitter: Rubixfnr  Geschäftliche Anfragen gerne über meine Business E-Mail: rubix@futurelegends.gg  Impressum: MYI AG Lieferadresse: MYI AG Einschlagweg 37b 3400 Burgdorf  Rechnungsadresse: MYI AG Elfenaustrasse 29 3074 Muri b. Bern  Gegründet : 10.06.2016 ""17:22 Uhr""",373.13,190495.0,0.53,0.199,🔵 <1M
1648,UCq32Ks-WZxhIXl-ItUn-3Og,Shree Hanuman Chalisa,533000,82027876,484,IN,"🕉️ [ श्री हनुमान चालीसा ] 🕉️ में आपका स्वागत है  नमस्ते! हमारा चैनल हनुमान चालीसा की दिव्य तरंगों को समर्पित है। 🙏 आध्यात्मिक यात्रा में हमारे साथ शामिल हों क्योंकि हम पारंपरिक गायन, भक्ति चर्चा और इस पवित्र मंत्र के विभिन्न संस्करणों का पता लगा रहे हैं।  🙌 आपका समर्थन हमारे लिए बहुत मायने रखता है! अधिक उत्साहवर्धक सामग्री के लिए लाइक, कमेंट और सब्सक्राइब करना न भूलें। यदि आपका कोई अनुरोध है या आप",153.9,169479.0,0.53,0.082,🔵 <1M
1649,UCdxv359lpJbTFddBm-iouTg,Real Energy Production,532000,216485923,122,US,,406.93,1774475.0,0.53,0.216,🔵 <1M
1650,UC2uxjIodAjLGgdeZTVa5-KA,Rec Room,531000,94399576,1134,US,"Rec Room will no longer be active as of June 1, 2026. We’re grateful for the community that made it special. Details: https://blog.recroom.com/posts/schools-out-for-rec-room",177.78,83245.0,0.53,0.094,🔵 <1M
1651,UCkSMaBSd4vOTFq3nYU4HvDQ,LUF / لوف,531000,153571018,630,JO,للتواصل والاعلانات info.l7luf@gmail.com   صلو على سيدنا محمد عليه الصلاة والسلام  ,289.21,243764.0,0.53,0.154,🔵 <1M
1652,UC5tmp5TQQpI1WicemM2t_IA,ماهر المغامر - Maher Roblox,530000,102369610,159,JO,للإعلان على القناة : maher.ryt.ads@gmail.com  ,193.15,643834.0,0.53,0.102,🔵 <1M
1653,UCtvsfbEiJmj3-54ACJH-Jxw,TONY GAMING,530000,117051951,1072,EG,معاكم محمد حمدي توني الشهير ب توني بنقدم كونتنت جيمينج سبايسي حبتين ,220.85,109190.0,0.53,0.117,🔵 <1M
1654,UCCclpCMDMlWc1VEkPhht-FQ,Mazhar Rahi,530000,122080186,141,PK,"Mazhar Rahi Production features the best of Pakistani music by bringing together some of the finest singers, musicians, and composers and giving them a platform to celebrate Pakistan’s rich musical heritage. Encompassing all genres of music; from Punjabi, Bhangra, Saraiki, Hip Hop to Rock and Pop Music, Folk Song.  Instagram: www.instagram.com/mazharrahi/  Facebook https://www.facebook.com/mazharr",230.34,865817.0,0.53,0.122,🔵 <1M
1655,UCtA5tu1BZ2dHEtNUnCKkqnw,Pure O Juice,530000,186604052,140,GB,I'm just a young orange striving to be ripe and bear more fruits,352.08,1332886.0,0.53,0.187,🔵 <1M
1656,UCCs1YZHxUTIbLZd-xrvvMCw,청원이,530000,402046248,862,KR,실력은 청정수급 게임에 대한 애착은 고인물급인 청원이입니다 ㅎㅎ 게임을 안하는 사람도 손가락이 근질거리는 영상을 만들겠습니다!  너 내 동료가 되라!   비즈니스 문의: makelchs@sandboxnetwork.net,758.58,466411.0,0.53,0.402,🔵 <1M
1657,UCZetZElUvdElPrcstRjl9DA,加藤純一ロードショー,529000,459724565,1076,JP,当チャンネルは加藤純一本人の管理下で運営しています。 権利関係等問題がありましたらTwitterDMからご連絡ください。 https://twitter.com/junroadshow ,869.04,427253.0,0.53,0.46,🔵 <1M
1658,UCLzgqAfDUXXvQXYre8VNgdQ,Urban Paradise,529000,409890132,1540,US,Welcome to Paradise 🌴   Your Home For The Best Urban Music With Lyrics! All videos will be a lyric video with closed captions (CC) and have lyrics in the description.   For all inquires see email below.,774.84,266162.0,0.53,0.41,🔵 <1M
1659,UC-9IwXkuThytX-AdxXFzUog,Dennus3,529000,315874459,1488,NL,"Hey, Ik ben Dennus en ik maak dagelijks Roblox/Brookhaven video's! Deze filmpjes zijn bedoelt voor iedereen en daarom volledig familie vriendelijk,  Aangezien er niet wordt gescholden in mijn video's. Dus Druk zeker op dat ""Abonneer"" knopje en op het belletje om altijd op de hoogte te blijven als ik een nieuwe video upload.   Veel kijk plezier naar een nieuwe Roblox video en/of andere Game video E",597.12,212281.0,0.53,0.316,🔵 <1M
1660,UCmCLlnZfSe93AoSGc03l7eA,Savun,528000,149060497,171,FR,"Je fais bouillir mes spaghettis avec les larmes des délus, des rageux, des premiers degrés, des gens de mauvaise foi, des gens qui n'ont aucune nuance et des gens qui n'écoutent rien aux propos des vidéos qu'ils regardent.  Je fais des vidéos pour moi pas pour les autres (sombre est mon passé) ",282.31,871699.0,0.53,0.149,🔵 <1M
1661,UCOBtOqxsioUI-fFykO2I4BQ,Peereira7,527000,94870530,2231,ES,Es imposible que te aburras viendo un video aqui.,180.02,42524.0,0.53,0.095,🔵 <1M
1662,UCFBapHA35loZ3KZwT_z3BsQ,Game Two,527000,260580100,1376,DE,"Bei Game Two zeigen wir unsere Liebe zu Videospielen auf charmant bescheuerte Art und Weise: Aktuelle und unabhängige Game-Reviews, Gaming-News, viel Humor und eine ordentliche Prise Hauen & Pappe – egal ob für Vollblut-Gamer, Gelegenheits-Zocker oder Noobs. Game Two ist Gaming-Show, Informationen aus dem Gaming-Kosmos & Comedy - verpackt in zwei Videos pro Woche. Egal ob AAA-Games, Indie-Geheimti",494.46,189375.0,0.53,0.261,🔵 <1M
1663,UCeUvWeG-LMtF6tDFN2PZtEQ,DJHatesGames,527000,96878747,221,US,I suck at games but let’s have fun,183.83,438365.0,0.53,0.097,🔵 <1M
1664,UCYKXCpJbGe3fTYILjpJgW2A,Bien,526000,80303260,69,KE,"Bien is a globally recognised Grammy award winning songwriter, musician and celebrated vocalist from Kenya. He is one-fourth of the globally celebrated boy band Sauti Sol, dominating the charts for over 15 years. Bien has commanded respect across the continent and the world over for his musicianship. He is best known for his raspy vocals, his beautiful songwriting, his infectious personality and h",152.67,1163815.0,0.53,0.08,🔵 <1M
1665,UC7m6vmQ79lTQyMpoWRs5kLw,Wollech,526000,186580150,200,TR,"Selam, ben çimen kafa veya toprak adam   ",354.72,932901.0,0.53,0.187,🔵 <1M
1666,UCWprqhsiw88d-j07y7mETXw,大森元貴 / Motoki Ohmori,526000,93881799,64,JP,,178.48,1466903.0,0.53,0.094,🔵 <1M
1667,UC7iprL0oHEq806uCAKiM9qw,CRB_mp5,525000,150135157,1365,FR,Je veux juste faire sourire ,285.97,109989.0,0.52,0.15,🔵 <1M
1668,UC070fhnqq38qNhqHm5rxTcQ,令和ちゃんねる,524000,459860273,3794,JP,ゲームやってます。目指せ脱サラ。  Twitter→ https://mobile.twitter.com/llTwkWRfvnWZ1Lh,877.6,121207.0,0.52,0.46,🔵 <1M
1669,UCkN4_MSa2_6APrV__ximd2g,NEK7,524000,183553688,1094,AR,N y solo N ☠️💙,350.29,167782.0,0.52,0.184,🔵 <1M
1670,UC6Pc833ujSvhaL7vYwoiwCQ,xWarCraft - وار كرافت,524000,82046175,1353,EG,هنا هتلاقي محتوي ماين كرافت المناسب للجميع مجرد سيناريوهات وضحك انا واصحابي مع بعض,156.58,60640.0,0.52,0.082,🔵 <1M
1671,UCR7ZwQz60rW9dK59Dirdc8w,HBO Max Brasil,524000,140792849,1939,BR,"O fogo nasce da escuridão. #ACasaDoDragão retorna em junho. 🔥 -- HBO Max, já disponível! https://www.hbomax.com/  Me segue nas redes!  Twitter: https://twitter.com/StreamMaxBR Instagram: https://www.instagram.com/hbomaxbrasil/  Facebook: https://www.facebook.com/hbomaxbrasil TikTok: https://www.tiktok.com/@hbomaxbr ",268.69,72611.0,0.52,0.141,🔵 <1M
1672,UC32w6uX5qtmUtF4QQQ2PKaQ,Hermitcraft Recap - a show by fans for fans,523000,99597088,480,Unknown,Fan-run and not official in any way week-to-week Recap of the events and mishaps that occur on the Hermitcraft SMP!,190.43,207494.0,0.52,0.1,🔵 <1M
